family,dataset,model,seed,precision,recall,f1
promise-ck,ant-1.7,XGB-HP,26,0.5769230769230769,0.6,0.5882352941176471
promise-ck,ant-1.7,LGB-HP,26,0.6486486486486487,0.48,0.5517241379310345
promise-ck,ant-1.7,RF-SMOTE,26,0.6326530612244898,0.62,0.6262626262626263
promise-ck,ant-1.7,LR,27,0.4625,0.74,0.5692307692307692
promise-ck,ant-1.7,RF,27,0.675,0.54,0.6
promise-ck,ant-1.7,XGB,27,0.5081967213114754,0.62,0.5585585585585585
promise-ck,ant-1.7,LGB,27,0.5454545454545454,0.6,0.5714285714285714
promise-ck,ant-1.7,Stacking,27,0.6857142857142857,0.48,0.5647058823529412
promise-ck,ant-1.7,RF-HP,27,0.5614035087719298,0.64,0.5981308411214953
promise-ck,ant-1.7,XGB-HP,27,0.4925373134328358,0.66,0.5641025641025641
promise-ck,ant-1.7,LGB-HP,27,0.5,0.52,0.5098039215686274
promise-ck,ant-1.7,RF-SMOTE,27,0.5303030303030303,0.7,0.603448275862069
promise-ck,ant-1.7,LR,28,0.4375,0.7,0.5384615384615384
promise-ck,ant-1.7,RF,28,0.6,0.48,0.5333333333333333
promise-ck,ant-1.7,XGB,28,0.5625,0.54,0.5510204081632653
promise-ck,ant-1.7,LGB,28,0.6086956521739131,0.56,0.5833333333333334
promise-ck,ant-1.7,Stacking,28,0.5945945945945946,0.44,0.5057471264367817
promise-ck,ant-1.7,RF-HP,28,0.5689655172413793,0.66,0.6111111111111112
promise-ck,ant-1.7,XGB-HP,28,0.5555555555555556,0.7,0.6194690265486725
promise-ck,ant-1.7,LGB-HP,28,0.6,0.54,0.5684210526315789
promise-ck,ant-1.7,RF-SMOTE,28,0.5818181818181818,0.64,0.6095238095238096
promise-ck,ant-1.7,LR,29,0.5,0.64,0.5614035087719298
promise-ck,ant-1.7,RF,29,0.75,0.36,0.4864864864864865
promise-ck,ant-1.7,XGB,29,0.6578947368421053,0.5,0.5681818181818182
promise-ck,ant-1.7,LGB,29,0.6153846153846154,0.48,0.5393258426966292
promise-ck,ant-1.7,Stacking,29,0.7307692307692307,0.38,0.5
promise-ck,ant-1.7,RF-HP,29,0.7105263157894737,0.54,0.6136363636363636
promise-ck,ant-1.7,XGB-HP,29,0.625,0.6,0.6122448979591837
promise-ck,ant-1.7,LGB-HP,29,0.5897435897435898,0.46,0.5168539325842697
promise-ck,ant-1.7,RF-SMOTE,29,0.65,0.52,0.5777777777777777
promise-ck,camel-1.6,LR,0,0.29347826086956524,0.48214285714285715,0.36486486486486486
promise-ck,camel-1.6,RF,0,0.5652173913043478,0.23214285714285715,0.3291139240506329
promise-ck,camel-1.6,XGB,0,0.4,0.35714285714285715,0.37735849056603776
promise-ck,camel-1.6,LGB,0,0.36538461538461536,0.3392857142857143,0.35185185185185186
promise-ck,camel-1.6,Stacking,0,0.5,0.125,0.2
promise-ck,camel-1.6,RF-HP,0,0.34545454545454546,0.3392857142857143,0.34234234234234234
promise-ck,camel-1.6,XGB-HP,0,0.35714285714285715,0.44642857142857145,0.3968253968253968
promise-ck,camel-1.6,LGB-HP,0,0.40350877192982454,0.4107142857142857,0.40707964601769914
promise-ck,camel-1.6,RF-SMOTE,0,0.3181818181818182,0.375,0.3442622950819672
promise-ck,camel-1.6,LR,1,0.27419354838709675,0.6071428571428571,0.37777777777777777
promise-ck,camel-1.6,RF,1,0.4375,0.125,0.19444444444444445
promise-ck,camel-1.6,XGB,1,0.5111111111111111,0.4107142857142857,0.45544554455445546
promise-ck,camel-1.6,LGB,1,0.5102040816326531,0.44642857142857145,0.47619047619047616
promise-ck,camel-1.6,Stacking,1,0.6666666666666666,0.03571428571428571,0.06779661016949153
promise-ck,camel-1.6,RF-HP,1,0.40350877192982454,0.4107142857142857,0.40707964601769914
promise-ck,camel-1.6,XGB-HP,1,0.43037974683544306,0.6071428571428571,0.5037037037037037
promise-ck,camel-1.6,LGB-HP,1,0.41509433962264153,0.39285714285714285,0.4036697247706422
promise-ck,camel-1.6,RF-SMOTE,1,0.4098360655737705,0.44642857142857145,0.42735042735042733
promise-ck,camel-1.6,LR,2,0.28225806451612906,0.625,0.3888888888888889
promise-ck,camel-1.6,RF,2,0.4444444444444444,0.21428571428571427,0.2891566265060241
promise-ck,camel-1.6,XGB,2,0.3508771929824561,0.35714285714285715,0.35398230088495575
promise-ck,camel-1.6,LGB,2,0.3230769230769231,0.375,0.34710743801652894
promise-ck,camel-1.6,Stacking,2,0.5185185185185185,0.25,0.3373493975903614
promise-ck,camel-1.6,RF-HP,2,0.3620689655172414,0.375,0.3684210526315789
promise-ck,camel-1.6,XGB-HP,2,0.3333333333333333,0.5357142857142857,0.410958904109589
promise-ck,camel-1.6,LGB-HP,2,0.3148148148148148,0.30357142857142855,0.3090909090909091
promise-ck,camel-1.6,RF-SMOTE,2,0.35,0.375,0.3620689655172414
promise-ck,camel-1.6,LR,3,0.33962264150943394,0.6428571428571429,0.4444444444444444
promise-ck,camel-1.6,RF,3,0.631578947368421,0.21428571428571427,0.32
promise-ck,camel-1.6,XGB,3,0.42857142857142855,0.375,0.4
promise-ck,camel-1.6,LGB,3,0.423728813559322,0.44642857142857145,0.43478260869565216
promise-ck,camel-1.6,Stacking,3,0.0,0.0,0.0
promise-ck,camel-1.6,RF-HP,3,0.4406779661016949,0.4642857142857143,0.45217391304347826
promise-ck,camel-1.6,XGB-HP,3,0.3977272727272727,0.625,0.4861111111111111
promise-ck,camel-1.6,LGB-HP,3,0.38181818181818183,0.375,0.3783783783783784
promise-ck,camel-1.6,RF-SMOTE,3,0.373134328358209,0.44642857142857145,0.4065040650406504
promise-ck,camel-1.6,LR,4,0.33663366336633666,0.6071428571428571,0.43312101910828027
promise-ck,camel-1.6,RF,4,0.5,0.14285714285714285,0.2222222222222222
promise-ck,camel-1.6,XGB,4,0.4375,0.375,0.40384615384615385
promise-ck,camel-1.6,LGB,4,0.4117647058823529,0.375,0.3925233644859813
promise-ck,camel-1.6,Stacking,4,1.0,0.017857142857142856,0.03508771929824561
promise-ck,camel-1.6,RF-HP,4,0.5,0.375,0.42857142857142855
promise-ck,camel-1.6,XGB-HP,4,0.453125,0.5178571428571429,0.48333333333333334
promise-ck,camel-1.6,LGB-HP,4,0.4583333333333333,0.39285714285714285,0.4230769230769231
promise-ck,camel-1.6,RF-SMOTE,4,0.38636363636363635,0.30357142857142855,0.34
promise-ck,camel-1.6,LR,5,0.2807017543859649,0.5714285714285714,0.3764705882352941
promise-ck,camel-1.6,RF,5,0.2777777777777778,0.08928571428571429,0.13513513513513514
promise-ck,camel-1.6,XGB,5,0.33962264150943394,0.32142857142857145,0.3302752293577982
promise-ck,camel-1.6,LGB,5,0.3,0.32142857142857145,0.3103448275862069
promise-ck,camel-1.6,Stacking,5,0.36,0.16071428571428573,0.2222222222222222
promise-ck,camel-1.6,RF-HP,5,0.3389830508474576,0.35714285714285715,0.34782608695652173
promise-ck,camel-1.6,XGB-HP,5,0.3048780487804878,0.44642857142857145,0.36231884057971014
promise-ck,camel-1.6,LGB-HP,5,0.3387096774193548,0.375,0.3559322033898305
promise-ck,camel-1.6,RF-SMOTE,5,0.3442622950819672,0.375,0.358974358974359
promise-ck,camel-1.6,LR,6,0.34615384615384615,0.6428571428571429,0.45
promise-ck,camel-1.6,RF,6,0.36,0.16071428571428573,0.2222222222222222
promise-ck,camel-1.6,XGB,6,0.3898305084745763,0.4107142857142857,0.4
promise-ck,camel-1.6,LGB,6,0.32142857142857145,0.32142857142857145,0.32142857142857145
promise-ck,camel-1.6,Stacking,6,0.5,0.08928571428571429,0.15151515151515152
promise-ck,camel-1.6,RF-HP,6,0.35294117647058826,0.32142857142857145,0.3364485981308411
promise-ck,camel-1.6,XGB-HP,6,0.35135135135135137,0.4642857142857143,0.4
promise-ck,camel-1.6,LGB-HP,6,0.3050847457627119,0.32142857142857145,0.3130434782608696
promise-ck,camel-1.6,RF-SMOTE,6,0.32727272727272727,0.32142857142857145,0.32432432432432434
